Precinct Code,Precinct Name,Total Population,White alone (Population),White alone (Percentage),Black or African American alone (Population),Black or African American alone (Percentage),American Indian and Alaska Native alone (Population),American Indian and Alaska Native alone (Percentage),Asian alone (Population),Asian alone (Percentage),Native Hawaiian and Other Pacific Islander alone (Population),Native Hawaiian and Other Pacific Islander alone (Percentage),Some Other Race alone (Population),Some Other Race alone (Percentage),Population of two or more races (Population),Population of two or more races (Percentage)
A148,ALABAMA,1642,860,52.38%,561,34.17%,6,0.37%,3,0.18%,0,0.00%,78,4.75%,134,8.16%
A101,ALEXANDRIA,807,552,68.40%,98,12.14%,18,2.23%,12,1.49%,0,0.00%,51,6.32%,76,9.42%
C144,ALSAB,2387,789,33.05%,792,33.18%,9,0.38%,62,2.60%,0,0.00%,504,21.11%,231,9.68%
C190,AMHERST,1414,"1,104",78.08%,155,10.96%,1,0.07%,27,1.91%,0,0.00%,52,3.68%,75,5.30%
B197,AQUEDUCT,867,475,54.79%,245,28.26%,4,0.46%,14,1.61%,1,0.12%,48,5.54%,80,9.23%
A174,ARLINGTON,967,551,56.98%,186,19.23%,6,0.62%,11,1.14%,0,0.00%,100,10.34%,113,11.69%
A158,ARMORY,1022,834,81.60%,50,4.89%,4,0.39%,33,3.23%,3,0.29%,21,2.05%,77,7.53%
B155,ASCOT,1306,699,53.52%,395,30.25%,5,0.38%,41,3.14%,0,0.00%,76,5.82%,90,6.89%
A182,ASHBROOKE,804,696,86.57%,32,3.98%,1,0.12%,39,4.85%,0,0.00%,9,1.12%,27,3.36%
C103,ASHLAND AVENUE,925,840,90.81%,17,1.84%,3,0.32%,15,1.62%,0,0.00%,11,1.19%,39,4.22%
A149,ASPENDALE-BLUEGRASS,1207,230,19.06%,814,67.44%,2,0.17%,9,0.75%,0,0.00%,56,4.64%,96,7.95%
B204,ATWOOD,978,788,80.57%,70,7.16%,2,0.20%,29,2.97%,0,0.00%,18,1.84%,71,7.26%
C114,AUTUMN RIDGE,853,730,85.58%,51,5.98%,0,0.00%,33,3.87%,0,0.00%,11,1.29%,28,3.28%
C105,AYLESFORD,2230,"1,780",79.82%,133,5.96%,8,0.36%,69,3.09%,3,0.13%,95,4.26%,142,6.37%
B170,BAFFIN BAY,1043,826,79.19%,67,6.42%,0,0.00%,53,5.08%,0,0.00%,17,1.63%,80,7.67%
A102,BARKER,962,664,69.02%,101,10.50%,2,0.21%,97,10.08%,2,0.21%,32,3.33%,64,6.65%
B102,BARKLEY,973,882,90.65%,11,1.13%,0,0.00%,10,1.03%,0,0.00%,29,2.98%,41,4.21%
B212,BAY MEADOWS,1182,952,80.54%,60,5.08%,0,0.00%,63,5.33%,0,0.00%,14,1.18%,93,7.87%
C224,BAY SPRINGS PARK,1894,"1,442",76.14%,184,9.71%,7,0.37%,125,6.60%,0,0.00%,34,1.80%,102,5.39%
B156,BAYSWATER,799,737,92.24%,10,1.25%,0,0.00%,17,2.13%,0,0.00%,7,0.88%,28,3.50%
A103,BEAUMONT,881,702,79.68%,65,7.38%,6,0.68%,3,0.34%,0,0.00%,39,4.43%,66,7.49%
A180,BEAUMONT CENTRE,1221,770,63.06%,53,4.34%,2,0.16%,325,26.62%,0,0.00%,8,0.66%,63,5.16%
B213,BEAVER PLACE,558,473,84.77%,25,4.48%,0,0.00%,22,3.94%,0,0.00%,9,1.61%,29,5.20%
A104,BELL SCHOOL HOUSE,918,597,65.03%,11,1.20%,8,0.87%,9,0.98%,0,0.00%,176,19.17%,117,12.75%
C211,BILOXI,1128,746,66.13%,210,18.62%,8,0.71%,0,0.00%,1,0.09%,95,8.42%,68,6.03%
B205,BLACKHORSE,1138,"1,004",88.22%,32,2.81%,0,0.00%,51,4.48%,0,0.00%,19,1.67%,32,2.81%
B151,BLAIRMORE,582,477,81.96%,50,8.59%,3,0.52%,17,2.92%,0,0.00%,4,0.69%,31,5.33%
A168,BLUE ACRES,1094,650,59.41%,295,26.97%,8,0.73%,9,0.82%,0,0.00%,67,6.12%,65,5.94%
B164,BLUEBERRY HILLS,770,594,77.14%,48,6.23%,9,1.17%,22,2.86%,0,0.00%,34,4.42%,63,8.18%
C225,BOONE STATION,1116,960,86.02%,25,2.24%,4,0.36%,18,1.61%,0,0.00%,29,2.60%,80,7.17%
C179,BRANDYWINE,1061,803,75.68%,130,12.25%,0,0.00%,14,1.32%,0,0.00%,31,2.92%,83,7.82%
C170,BRECKINRIDGE,820,587,71.59%,111,13.54%,3,0.37%,11,1.34%,0,0.00%,71,8.66%,37,4.51%
B198,BRIDGEMONT,885,798,90.17%,20,2.26%,3,0.34%,18,2.03%,0,0.00%,12,1.36%,34,3.84%
B104,BRIGADOON,934,713,76.34%,97,10.39%,6,0.64%,23,2.46%,0,0.00%,29,3.10%,66,7.07%
C180,BROADMOOR,1327,"1,117",84.17%,67,5.05%,0,0.00%,63,4.75%,0,0.00%,11,0.83%,69,5.20%
C212,BROOKEWIND,1147,809,70.53%,135,11.77%,11,0.96%,81,7.06%,0,0.00%,28,2.44%,83,7.24%
B105,BROOKHAVEN,824,697,84.59%,48,5.83%,3,0.36%,19,2.31%,0,0.00%,9,1.09%,48,5.83%
C109,BRYAN STATION,920,714,77.61%,66,7.17%,11,1.20%,11,1.20%,0,0.00%,52,5.65%,66,7.17%
C173,BUCKHORN,1150,883,76.78%,80,6.96%,1,0.09%,99,8.61%,0,0.00%,14,1.22%,73,6.35%
A184,BUNKER,1914,"1,438",75.13%,137,7.16%,6,0.31%,136,7.11%,1,0.05%,98,5.12%,98,5.12%
C226,BURKEWOOD,646,400,61.92%,134,20.74%,1,0.15%,26,4.02%,0,0.00%,28,4.33%,57,8.82%
A150,CAMPSIE,1264,607,48.02%,503,39.79%,4,0.32%,6,0.47%,2,0.16%,36,2.85%,106,8.39%
A192,CARDINAL RUN,1167,657,56.30%,12,1.03%,5,0.43%,413,35.39%,1,0.09%,8,0.69%,71,6.08%
A106,CARDINAL VALLEY,1266,494,39.02%,216,17.06%,14,1.11%,4,0.32%,0,0.00%,341,26.94%,197,15.56%
B188,CASTLEGATE,827,734,88.75%,14,1.69%,2,0.24%,15,1.81%,1,0.12%,0,0.00%,61,7.38%
A169,CASTLEWOOD,1410,952,67.52%,177,12.55%,5,0.35%,5,0.35%,0,0.00%,153,10.85%,118,8.37%
B183,CAVE HILL,731,670,91.66%,15,2.05%,0,0.00%,15,2.05%,0,0.00%,4,0.55%,27,3.69%
A178,CAYWOOD,3194,"1,021",31.97%,610,19.10%,40,1.25%,14,0.44%,0,0.00%,"1,105",34.60%,404,12.65%
